iter	RMSE
0	1616.46755
1	1609.076534
2	1603.785137
3	1599.893975
4	1592.448606
5	1587.879222
6	1579.782278
7	1574.164881
8	1565.036143
9	1559.959089
10	1558.03201
11	1553.315587
12	1546.30086
13	1539.683885
14	1534.680981
15	1528.964541
16	1523.002852
17	1518.886263
18	1513.092691
19	1507.935431
20	1503.986766
21	1500.503305
22	1494.080351
23	1487.210454
24	1481.489528
25	1475.181565
26	1470.927721
27	1466.87686
28	1463.722751
29	1458.96662
30	1451.471862
31	1449.168151
32	1443.704177
33	1439.360906
34	1433.744502
35	1429.592841
36	1426.225522
37	1423.204676
38	1419.728053
39	1418.564352
40	1417.375287
41	1411.232854
42	1409.202652
43	1404.676542
44	1401.120949
45	1396.971932
46	1392.218022
47	1387.952641
48	1386.7867
49	1381.523496
50	1378.929944
51	1375.346531
52	1370.656506
53	1366.831576
54	1362.648041
55	1360.523014
56	1357.264908
57	1355.242252
58	1351.623019
59	1348.13231
60	1345.591271
61	1342.259193
62	1339.707262
63	1338.041588
64	1335.543481
65	1334.546362
66	1333.251781
67	1329.763599
68	1328.284396
69	1324.717773
70	1320.288253
71	1315.867917
72	1313.517244
73	1312.386306
74	1310.312479
75	1307.88991
76	1306.50088
77	1305.164938
78	1302.604945
79	1299.104263
80	1297.400131
81	1294.695502
82	1290.54571
83	1287.751048
84	1286.623437
85	1285.566792
86	1280.933967
87	1280.551511
88	1277.261759
89	1274.080513
90	1272.122878
91	1269.434559
92	1266.613534
93	1264.331684
94	1261.561281
95	1260.271706
96	1258.074985
97	1255.631378
98	1253.251262
99	1249.706236
100	1248.999082
101	1247.326993
102	1244.724485
103	1242.887544
104	1240.462326
105	1238.76095
106	1235.736773
107	1232.53395
108	1231.698059
109	1230.627875
110	1227.149016
111	1225.840052
112	1222.089219
113	1218.450058
114	1214.661741
115	1214.03598
116	1210.537382
117	1209.071717
118	1207.020026
119	1206.530898
120	1202.77088
121	1201.608563
122	1198.062897
123	1196.894267
124	1195.849105
125	1192.961096
126	1190.816273
127	1189.362613
128	1186.347356
129	1182.751458
130	1178.33351
131	1175.941267
132	1173.738713
133	1172.049415
134	1170.734905
135	1169.727191
136	1167.682666
137	1164.791225
138	1164.389539
139	1163.396696
140	1162.370573
141	1161.351322
142	1160.709196
143	1158.280226
144	1155.284225
145	1153.655292
146	1151.798781
147	1150.062059
148	1148.496506
149	1146.0688
150	1143.400289
151	1140.392343
152	1137.352532
153	1136.977241
154	1136.432864
155	1132.75902
156	1129.793938
157	1128.136382
158	1126.948983
159	1123.738939
160	1120.334122
161	1119.333904
162	1117.651881
163	1115.736903
164	1115.533564
165	1113.464904
166	1111.531904
167	1110.001317
168	1107.500476
169	1104.743279
170	1101.678964
171	1099.152545
172	1098.31753
173	1097.071397
174	1096.014072
175	1093.864096
176	1093.20568
177	1092.930268
178	1092.616905
179	1091.397649
180	1090.986743
181	1087.520814
182	1084.589659
183	1083.476397
184	1082.557486
185	1082.306645
186	1081.981691
187	1079.026621
188	1077.713799
189	1075.520328
190	1074.296051
191	1073.598031
192	1072.109766
193	1069.914757
194	1068.183435
195	1064.686555
196	1062.326104
197	1061.741286
198	1059.951317
199	1056.836522
200	1055.161447
201	1053.571646
202	1052.897995
203	1050.051546
204	1049.201925
205	1046.865899
206	1045.11964
207	1044.4815
208	1043.273218
209	1042.116362
210	1039.198943
211	1037.815475
212	1034.805672
213	1032.309504
214	1031.306729
215	1028.273544
216	1027.216821
217	1023.495823
218	1023.154776
219	1020.246439
220	1019.821909
221	1017.197719
222	1015.937389
223	1013.216381
224	1012.588801
225	1009.974051
226	1008.789094
227	1006.589228
228	1004.427406
229	1003.212752
230	999.627679
231	997.9209855
232	996.2882652
233	995.0135413
234	992.5005018
235	990.9445782
236	990.4704734
237	989.5286172
238	989.0008106
239	986.8410506
240	986.4180157
241	984.4028378
242	981.7073896
243	980.7468814
244	979.9610454
245	979.8001335
246	978.6283644
247	978.4864375
248	977.9946565
249	976.7033152
250	975.0645972
251	972.9411427
252	971.6652296
253	971.1612751
254	970.2082339
255	967.6157529
256	966.5438623
257	965.1779637
258	964.7549795
259	964.2272325
260	962.8549469
261	961.8174101
262	959.8134469
263	958.9474202
264	958.4364967
265	957.6674656
266	957.1680914
267	956.3429505
268	954.0053439
269	952.6761145
270	950.3668096
271	949.4619517
272	949.1981673
273	947.5822518
274	947.0979348
275	946.2251149
276	943.9476551
277	943.0729892
278	942.3013624
279	941.8453697
280	940.5510021
281	940.0843153
282	939.2141634
283	938.9116818
284	937.5526495
285	936.4733002
286	936.017867
287	934.9637749
288	934.6636225
289	934.2178388
290	931.4933572
291	931.0527455
292	930.6176468
293	929.9437913
294	928.8920617
295	927.7023882
296	924.9532512
297	923.9210983
298	923.5003717
299	922.2804052
300	921.4731339
301	920.0307189
302	919.0271854
303	918.0452038
304	917.0496375
305	916.6054608
306	913.8260916
307	911.4233997
308	910.2348502
309	908.9087293
310	906.3350618
311	905.9365435
312	905.2845224
313	904.8939492
314	904.5082154
315	904.0855796
316	903.7078119
317	901.0360389
318	900.1034239
319	898.9748038
320	898.6084031
321	898.2465108
322	895.7593582
323	895.40141
324	895.0478587
325	892.4343449
326	891.466141
327	888.8457685
328	886.7551852
329	884.1981089
330	883.8499246
331	882.9609831
332	882.1864296
333	881.4205945
334	878.7782045
335	878.4338299
336	875.9148518
337	874.9589426
338	874.6198591
339	873.8686492
340	873.125892
341	870.5639968
342	868.5378754
343	867.6093405
344	865.1409332
345	862.6203731
346	860.6341205
347	859.9007889
348	859.5663591
349	857.604141
350	855.666972
351	853.7545213
352	851.8664627
353	851.5336075
354	849.6689918
355	847.1707352
356	845.3279416
357	842.3281961
358	841.3984307
359	840.4823814
360	839.7645581
361	838.9565351
362	835.9807315
363	835.035638
364	832.0931001
365	831.7620603
366	828.8548397
367	827.087433
368	824.229997
369	821.407481
370	821.0780317
371	819.3605052
372	817.8286105
373	815.0496928
374	813.5316468
375	810.7826592
376	809.2782482
377	807.7912775
378	806.321534
379	804.8688079
380	803.4328925
381	800.6974484
382	799.2741562
383	796.5679442
384	795.1570996
385	793.7624788
386	791.0811989
387	788.4323911
388	787.0459432
389	785.6753549
390	784.3204401
391	782.9810152
392	780.3487353
393	779.020759
394	777.7079255
395	776.4100595
396	775.1269877
397	772.5111877
398	769.9268536
399	767.2443622
400	765.9696127
401	764.7093696
402	763.4634662
403	760.9163343
404	758.2914103
405	757.0572065
406	755.8370546
407	754.6307934
408	752.0453432
409	749.5518211
410	748.3568785
411	747.1755507
412	744.7050997
413	742.1904254
414	741.0201512
415	739.8119784
416	738.6608711
417	736.1963367
418	735.0593961
419	733.935475
420	732.8244234
421	730.4053262
422	727.9934586
423	726.8928016
424	725.7645236
425	724.681975
426	723.5776307
427	721.2256572
428	720.1618256
429	719.0931187
430	718.0468398
431	715.7404305
432	714.7070554
433	713.6780114
434	712.6617307
435	711.6572232
436	709.3958185
437	708.4037255
438	707.4231573
439	705.0896738
440	702.8754407
441	701.9105718
442	700.9441099
443	700.0000757
444	699.0496665
445	696.8877552
446	695.9490949
447	695.0403979
