iter	Passed	Remaining
0	135	135148
1	135	67660
2	135	45148
3	136	33921
4	136	27176
5	136	22677
6	137	19444
7	137	17038
8	137	15168
9	138	13662
10	138	12424
11	138	11407
12	138	10545
13	139	9807
14	139	9159
15	139	8597
16	140	8104
17	140	7661
18	140	7272
19	141	6920
20	141	6602
21	142	6314
22	142	6050
23	142	5806
24	143	5583
25	143	5376
26	143	5185
27	144	5008
28	144	4845
29	145	4690
30	145	4547
31	145	4411
32	146	4286
33	146	4166
34	147	4053
35	147	3945
36	147	3843
37	148	3750
38	148	3660
39	148	3571
40	149	3492
41	149	3414
42	150	3344
43	150	3273
44	151	3206
45	151	3140
46	151	3077
47	152	3016
48	152	2955
49	152	2903
50	153	2852
51	154	2808
52	154	2758
53	154	2712
54	155	2665
55	155	2619
56	155	2577
57	156	2541
58	156	2500
59	159	2491
60	159	2453
61	160	2421
62	160	2385
63	160	2351
64	161	2317
65	161	2283
66	161	2252
67	162	2223
68	162	2192
69	162	2163
70	163	2134
71	163	2107
72	163	2080
73	164	2055
74	164	2030
75	165	2007
76	165	1982
77	165	1957
78	165	1934
79	166	1912
80	166	1890
81	167	1869
82	167	1850
83	167	1830
84	168	1809
85	168	1791
86	168	1772
87	169	1752
88	169	1734
89	169	1716
90	170	1699
91	170	1683
92	171	1668
93	171	1653
94	171	1637
95	172	1622
96	172	1607
97	173	1593
98	173	1578
99	173	1564
100	174	1555
101	175	1544
102	175	1530
103	176	1516
104	176	1503
105	176	1491
106	177	1479
107	177	1466
108	177	1453
109	178	1441
110	178	1430
111	178	1418
112	179	1407
113	179	1396
114	180	1385
115	180	1375
116	181	1366
117	181	1356
118	181	1345
119	182	1335
120	182	1326
121	183	1317
122	183	1307
123	186	1319
124	187	1309
125	188	1307
126	189	1299
127	189	1289
128	189	1280
129	190	1271
130	190	1262
131	190	1254
132	191	1246
133	191	1238
134	192	1230
135	192	1222
136	192	1214
137	193	1206
138	193	1199
139	194	1192
140	194	1184
141	194	1177
142	195	1170
143	195	1163
144	196	1157
145	196	1151
146	197	1144
147	197	1137
148	197	1130
149	198	1123
150	198	1118
151	199	1111
152	199	1105
153	199	1098
154	200	1092
155	200	1086
156	201	1080
157	201	1073
158	201	1067
159	202	1061
160	202	1055
161	203	1050
162	203	1045
163	203	1039
164	204	1033
165	204	1027
166	205	1024
167	205	1019
168	206	1013
169	206	1008
170	207	1004
171	207	998
172	207	993
173	208	988
174	208	983
175	209	979
176	209	973
177	209	967
178	209	962
179	210	957
180	210	951
181	210	946
182	211	942
183	211	937
184	211	932
185	223	979
186	224	975
187	224	970
188	225	966
189	225	962
190	226	958
191	226	954
192	227	949
193	227	944
194	227	939
195	228	935
196	228	931
197	228	926
198	229	922
199	229	918
200	229	913
201	230	909
202	230	905
203	231	901
204	231	898
205	231	893
206	232	889
207	232	885
208	232	881
209	233	877
210	233	873
211	234	870
212	234	866
213	234	862
214	235	858
215	235	855
216	236	852
217	236	848
218	236	845
219	237	841
220	237	838
221	238	834
222	238	831
223	238	827
224	239	824
225	239	821
226	240	817
227	240	815
228	241	811
229	241	808
230	241	805
231	242	801
232	242	798
233	242	795
234	243	792
235	244	789
236	244	787
237	244	783
238	245	781
239	246	779
240	246	776
241	246	773
242	247	770
243	247	767
244	248	764
245	248	761
246	293	895
247	293	890
248	300	907
249	305	917
250	306	913
251	306	909
252	306	906
253	307	902
254	307	898
255	307	894
256	308	891
257	308	888
258	309	886
259	310	883
260	310	879
261	311	877
262	312	876
263	313	873
264	313	870
265	314	866
266	314	863
267	314	860
268	315	856
269	315	853
270	316	850
271	316	847
272	317	844
273	317	841
274	317	838
275	318	834
276	318	831
277	319	828
278	319	825
279	319	822
280	320	819
281	320	816
282	321	814
283	322	811
284	322	809
285	323	806
286	323	803
287	323	800
288	324	798
289	325	795
